"","iid","tr","ID_tr","begin","end","duration","belief_cost","kwh_led","kwh_cfl","yuan","belief_carbon","relative_1","relative_2","q1","q2","q3","q4","q5","q6","q7","q8","q9","q10","q11","q12","q13","q14","q15","r2_q1","r2_q2","r2_q3","r2_q4","r2_q5","r2_q6","r2_q7","r2_q8","r2_q9","r2_q10","r2_q11","r2_q12","r2_q13","r2_q14","r2_q15","income","home","own_bulb","w_price","w_life","w_energy","w_carbon","w_light","w_hg","cc_belief","cc_support_1","cc_support_2","cc_support_3","cc_support_4","cc_support_5","cc_support_6","cc_action_1","cc_action_2","cc_action_3","cc_action_4","ideal","purpose","purpose_other","self_monitor_1","self_monitor_2","self_monitor_3","self_monitor_4","self_monitor_5","self_monitor_6","country","prov","city","gender","age","degree","switch_1","switch_2"
"796","o34xe04J7AtR9Z68Iz971xkclndU","E",286,"2021/1/7 17:54","2021/1/7 17:57",196,2,45,20,10,1,6,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,10,2,1,1,2,1,1,2,2,2,3,2,2,3,3,2,4,3,2,2,1,5,"",1,4,1,1,2,3,"中国","黑龙江省","伊春市","A.男",25,"C.大学专科",42,26
"797","o34xe04JBUwmuyD9lEBDi_Und7zI","E",209,"2021/1/7 17:33","2021/1/7 17:36",198,3,200,150,300,1,3,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,2,4,3,2,1,2,1,1,1,2,2,2,2,1,1,1,1,1,1,1,4,6,"",1,2,1,2,1,1,"中国","四川省","","B.女",40,"C.大学专科",2,10
"799","o34xe04JzaYv7HYpmZzN7FFsPjN4","M",448,"2021/1/8 10:18","2021/1/8 10:22",263,3,100,100,100,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,1,1,3,3,3,3,2,1,1,2,2,2,2,2,2,2,4,2,3,4,4,"",2,3,2,1,1,2,"中国","浙江省","杭州市","A.男",31,"C.大学专科",62,62
"800","o34xe04K2Vv9i35do6FR4c6pK7i0","M",63,"2021/1/7 17:15","2021/1/7 17:22",397,1,91,80,11,2,NA,6,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,1,1,2,1,1,3,2,1,1,1,2,3,2,3,3,1,1,1,4,2,8,"",2,2,3,1,1,2,"中国","浙江省","杭州市","B.女",53,"D.大学本科",30,50
"801","o34xe04KDn6BdbRQsZbG5CXDnRHQ","E",178,"2021/1/7 17:18","2021/1/7 17:32",808,2,180,5,87.5,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,9,"",1,1,1,1,1,1,"中国","山西省","晋城市","B.女",38,"C.大学专科",2,2
"803","o34xe04KF1Mlw96QZa6SJw9Iy1KQ","C",254,"2021/1/7 17:43","2021/1/7 17:46",223,2,30,50,5,2,NA,7,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,5,9,"",2,2,2,2,2,3,"中国","广东省","","A.男",34,"D.大学本科",62,62
"804","o34xe04KWK9Kfeiu4zcaA1kXss4s","M",441,"2021/1/8 7:19","2021/1/8 7:45",1542,3,8.7,43.8,35,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,9,3,1,3,1,1,1,2,1,1,2,2,1,1,3,3,1,1,1,1,3,9,"",1,3,2,1,1,1,"中国","江苏省","","B.女",54,"A.初中及以下",62,62
"805","o34xe04kzNbyEQsuTkbbBbZ4fJ_U","E",105,"2021/1/7 17:17","2021/1/7 17:25",466,3,500,500,200,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,0,2,1,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,6,1,"",2,4,3,2,2,2,"中国","安徽省","",NA,NA,NA,30,34
"806","o34xe04ldE630iOWUuk3Xh9-YXTc","C",304,"2021/1/7 17:20","2021/1/7 18:05",2685,1,6,4,10,1,3,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,1,1,2,2,2,2,1,1,1,2,2,2,2,3,3,2,4,4,4,2,6,"",2,2,2,2,2,2,"中国","浙江省","金华市","B.女",26,"C.大学专科",2,2
"808","o34xe04LJ7A8Fw2kVA7IlcweCsWA","M",140,"2021/1/7 17:23","2021/1/7 17:29",365,1,87.6,50,20,1,3,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,12,1,1,2,2,1,3,1,1,1,1,1,2,2,2,4,1,1,2,3,5,9,"",2,2,1,2,3,1,"中国","江苏省","","A.男",25,"D.大学本科",10,58
"809","o34xe04M0iclyb9iqsNL5meph4YI","C",199,"2021/1/7 17:16","2021/1/7 17:34",1083,3,2,3,0.5,1,1,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,3,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,1,1,1,1,3,5,"",2,2,2,2,2,2,"中国","广东省","广州市","A.男",32,"A.初中及以下",6,30
"810","o34xe04M17no2ULRthDK3QK1qW7w","C",327,"2021/1/7 17:38","2021/1/7 18:19",2497,3,60,70,10,2,NA,2,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,4,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,3,"",2,2,1,2,2,2,"中国","重庆市","重庆市","B.女",28,"D.大学本科",26,34
"812","o34xe04MOrrbPhHWWikekitVEMmM","E",22,"2021/1/7 17:17","2021/1/7 17:20",191,3,108,59,41,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,15,1,1,1,1,1,1,1,1,2,2,2,1,2,1,2,1,1,1,1,1,6,"",1,2,1,2,2,1,"中国","重庆市","重庆市","B.女",48,"D.大学本科",62,46
"813","o34xe04N1DuI01i-DggfocBvEuYw","C",56,"2021/1/7 17:17","2021/1/7 17:22",293,3,100,100,100,2,NA,1,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,"",2,4,1,1,2,1,"中国","上海市","上海市","B.女",39,"B.高中/中专/技校",2,2
"815","o34xe04Na6fc5Uu9gDSv4XhSjoXA","E",375,"2021/1/7 18:58","2021/1/7 19:06",455,2,14,28,20,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.8,5,1,2,1,1,1,1,1,2,1,2,2,2,3,3,2,2,2,2,5,2,"",2,2,2,2,2,2,"中国","北京市","北京市","A.男",37,"D.大学本科",62,62
"818","o34xe04NryEY3PGmsg7bxTDwk6Lg","M",178,"2021/1/7 17:16","2021/1/7 17:34",1098,3,200,280,2000,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,1,1,1,2,1,3,2,2,2,2,2,3,1,1,1,2,4,3,"",2,3,2,2,1,1,"中国","山西省","","B.女",47,"B.高中/中专/技校",62,62
"820","o34xe04nWrTWs0AN64Ok0AtZyeiQ","E",102,"2021/1/7 17:19","2021/1/7 17:25",367,2,7,70,31.5,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,1,1,3,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,5,9,"",1,2,2,1,1,4,"中国","江苏省","南京市","A.男",42,"D.大学本科",62,62
"821","o34xe04oggLckrFrXXpXhKwgttMQ","C",129,"2021/1/7 17:20","2021/1/7 17:26",349,3,85,85,0,2,NA,1,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,20,1,1,3,2,2,2,1,1,1,2,1,1,1,1,3,1,1,1,3,3,4,"",3,3,2,2,2,1,"中国","上海市","上海市","B.女",31,"C.大学专科",58,62
"823","o34xe04oUCl8ny4_OZfoJSLKa568","M",352,"2021/1/7 18:45","2021/1/7 18:53",444,1,200,100,100,1,3,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,200,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,3,"",1,1,1,1,1,1,"中国","河北省","唐山市",NA,NA,NA,2,2
"824","o34xe04OXPOa6VUWq4YLHr8W-wKU","E",215,"2021/1/7 17:31","2021/1/7 17:38",414,2,100,120,120,2,NA,1,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1.3,1,2,2,1,2,2,2,1,1,1,1,1,1,2,2,1,1,1,2,4,9,"",2,2,2,2,2,2,"中国","广东省","","B.女",31,"B.高中/中专/技校",50,58
"826","o34xe04Pl8Yu9kW31klIwf0RJzeE","M",6,"2021/1/7 17:15","2021/1/7 17:17",129,2,1263,1263,63,2,NA,5,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,5,"",1,1,1,1,1,1,"中国","山东省","","A.男",43,"D.大学本科",26,54
"827","o34xe04PmiC5KkID6gWeLk7a9y7o","C",455,"2021/1/8 12:14","2021/1/8 12:18",220,3,90,90,0,3,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,1,2,1,1,2,1,1,1,1,2,1,1,2,2,1,1,3,2,3,5,"",2,1,2,1,3,4,"中国","河北省","","A.男",58,"A.初中及以下",58,46
"829","o34xe04QljEiEJOq47Z6-a09c2ns","E",415,"2021/1/7 20:48","2021/1/7 20:54",361,3,50,50,20,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,10,1,1,2,2,2,2,3,2,1,1,1,1,1,1,1,1,1,2,2,3,1,"",1,2,1,2,3,3,"中国","辽宁省","大连市","B.女",37,"E.硕士及以上",38,50
"830","o34xe04qyIjzJFdfkV4H8flGKef8","M",281,"2021/1/7 17:54","2021/1/7 17:59",340,3,2,3,10,1,2,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,300,4,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,10,"",1,1,1,1,1,3,"中国","广东省","深圳市",NA,NA,NA,62,62
"831","o34xe04r1sEadEs9PSrY2aiKnkbw","E",205,"2021/1/7 17:31","2021/1/7 17:36",272,2,240,480,240,1,4,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,1,1,1,2,1,2,1,2,2,1,2,1,1,2,1,2,1,2,1,4,8,"",1,2,1,2,1,2,"中国","江苏省","南通市","B.女",31,"D.大学本科",14,58
"832","o34xe04r4sA01QWIu2c7X7T0mv1s","C",310,"2021/1/7 18:02","2021/1/7 18:06",282,3,200,200,50,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,8,1,1,1,1,2,3,1,1,3,2,2,2,2,2,2,3,2,3,3,4,8,"",2,3,2,3,2,2,"中国","广东省","广州市","A.男",29,"B.高中/中专/技校",34,34
"833","o34xe04R7zPtlVVCTRhZTairWzBE","E",15,"2021/1/7 17:18","2021/1/7 17:20",116,2,5,5,20,3,NA,NA,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,10,2,3,2,2,1,3,2,1,1,1,1,1,1,1,1,1,1,1,1,4,2,"",1,1,1,1,1,1,"中国","重庆市","重庆市","A.男",31,"D.大学本科",2,2
"834","o34xe04RipcdnjozoHGAlP5kPjSk","M",367,"2021/1/7 19:24","2021/1/7 19:28",193,1,2.4365,24365,400,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,10,1,2,2,2,1,2,2,2,2,3,3,3,2,2,2,1,1,1,1,3,3,"",2,2,2,2,2,2,"中国","吉林省","松原市","B.女",23,"D.大学本科",62,10
"835","o34xe04rp3GdYBA39VOk9Gr6JJjI","M",175,"2021/1/7 17:28","2021/1/7 17:34",363,2,20,40,20,2,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,5,3,1,1,1,1,1,1,2,2,2,3,2,2,2,1,1,2,4,4,1,"",1,3,3,3,1,1,"中国","广西壮族自治区","玉林市","A.男",37,"A.初中及以下",62,62
"836","o34xe04s-bXROR8SMCmypzhCL9IE","E",363,"2021/1/7 18:40","2021/1/7 18:42",144,2,800,1200,260,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,"",1,1,1,1,1,1,"中国","浙江省","杭州市","A.男",29,"D.大学本科",62,62
"837","o34xe04s8fRo_cGlhwpvYESzfWVE","E",130,"2021/1/7 17:20","2021/1/7 17:27",423,3,200,180,150,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,5,8,"",2,1,2,1,2,2,"中国","山东省","临沂市","B.女",39,"B.高中/中专/技校",38,62
"840","o34xe04srfpCBZDnWxc1hABkuRxM","C",36,"2021/1/7 17:19","2021/1/7 17:21",102,3,100,55,100,3,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,7,"",2,2,2,2,2,2,"中国","湖北省","武汉市","A.男",33,"D.大学本科",62,62
"842","o34xe04tHtNYBb-FDSs69OPNU3_M","M",4,"2021/1/7 17:15","2021/1/7 17:17",112,2,300,600,300,1,1,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,"",1,1,1,1,1,1,"中国","河南省","","A.男",59,"D.大学本科",62,62
"843","o34xe04tnmwYhugNI3gnTSiqbt1Y","C",191,"2021/1/7 17:28","2021/1/7 17:33",330,2,88,22,40,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12,1,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,3,5,7,"",2,3,2,2,2,2,"中国","上海市","上海市","A.男",46,"D.大学本科",62,62
"844","o34xe04tWDjiCYn3foA2Fp8EZHQk","E",431,"2021/1/7 21:31","2021/1/7 21:45",831,3,250,250,1000,3,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,10,1,1,3,2,1,1,1,1,1,2,1,1,2,2,3,2,2,1,3,4,8,"",2,3,2,2,2,3,"中国","广东省","","B.女",25,"D.大学本科",34,34
"845","o34xe04TyI0PG1-akt37Mdz1MHI4","E",238,"2021/1/7 17:40","2021/1/7 17:44",198,2,20,40,200,2,NA,3,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,10,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,"",1,1,1,1,1,1,"中国","辽宁省","","B.女",22,"D.大学本科",58,50
"846","o34xe04U0yJmilC-LYnSoHv3fWew","M",263,"2021/1/7 17:50","2021/1/7 17:53",202,2,250,200,250,2,NA,5,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,8,"",1,1,1,1,1,1,"中国","内蒙古自治区","赤峰市","B.女",27,"C.大学专科",2,62
"848","o34xe04uG98-0I9pWvNhA1hFOXoo","M",99,"2021/1/7 17:15","2021/1/7 17:25",559,2,15,25,45,3,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0.5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,11,"",1,3,2,2,2,2,"中国","广东省","东莞市","B.女",46,"B.高中/中专/技校",42,62
"849","o34xe04ULJteFJAsJ1T8DQivj-UY","E",141,"2021/1/7 17:26","2021/1/7 17:28",119,2,60,60,2600,2,NA,5,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,2,2,1,1,1,1,1,1,1,2,2,2,2,3,2,1,2,2,1,2,8,"",1,1,1,1,1,1,"中国","广东省","广州市","A.男",26,"B.高中/中专/技校",62,62
"851","o34xe04USvP7LzRc5--gMgC1uWOA","C",182,"2021/1/7 17:27","2021/1/7 17:32",255,2,40,60,20,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,12,1,1,3,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,4,8,"",1,1,1,1,1,1,"中国","福建省","","A.男",29,"A.初中及以下",62,62
"853","o34xe04uVMHEIQCKEBlZjpYRiWZ0","M",227,"2021/1/7 17:37","2021/1/7 17:42",306,3,30,35,4,2,NA,6,1,2,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,6,1,2,2,1,1,2,3,2,1,1,2,2,2,1,2,1,1,1,3,5,11,"节能的重要性",3,3,2,3,2,1,"中国","江苏省","","B.女",44,"C.大学专科",38,58
"854","o34xe04UzgRTPTHUijtIGM-tAYsc","M",399,"2021/1/7 20:26","2021/1/7 20:36",608,2,4,12,5,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,15,1,1,2,1,2,3,2,1,2,2,1,3,2,4,4,1,1,2,3,6,3,"",2,3,2,2,2,2,"中国","江苏省","南通市","A.男",44,"E.硕士及以上",62,62
"855","o34xe04vAv8_ujwH48QZWZPj59GI","M",17,"2021/1/7 17:16","2021/1/7 17:19",176,2,60,80,50,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,4,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,4,9,"",2,2,2,2,1,2,"中国","广东省","佛山市","A.男",55,"C.大学专科",62,62
"857","o34xe04XGHCC8c7zuWwxgSIipjBU","E",220,"2021/1/7 17:29","2021/1/7 17:38",554,3,1000,1000,1000,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,8,3,4,2,2,1,2,3,1,2,2,3,3,3,3,3,2,2,1,2,4,8,"",2,3,2,2,2,2,"中国","贵州省","贵阳市","B.女",27,"D.大学本科",30,50
"858","o34xe04xX-zzYBVdUjnk0tpLm6HI","C",228,"2021/1/7 17:37","2021/1/7 17:39",105,1,1000,2000,3000,1,5,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,"",1,1,1,1,1,1,"中国","山东省","临沂市","A.男",58,"B.高中/中专/技校",30,62
"862","o34xe04ZEk1MXLrohCSCcIMDMktQ","M",101,"2021/1/7 17:20","2021/1/7 17:25",296,1,30,90,150,2,NA,3,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,1,1,2,1,1,2,2,1,1,1,2,2,2,3,2,1,1,3,2,3,5,"",1,2,2,1,2,2,"中国","河北省","保定市","A.男",32,"D.大学本科",62,62
"863","o34xe04ZkXztOL6QdMXkewlDpRfg","E",203,"2021/1/7 17:33","2021/1/7 17:35",150,2,300,200,1,1,1,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,6,"",1,1,1,1,1,1,"中国","北京市","北京市",NA,NA,NA,30,62
"864","o34xe04ZYiFnUMEDiajLOMTP20NA","E",177,"2021/1/7 17:26","2021/1/7 17:32",353,2,200,90,200,2,NA,1,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,9,"",1,1,1,1,1,2,"中国","浙江省","","B.女",33,"B.高中/中专/技校",62,62
"867","o34xe050e0_LF1QUIW1kjSGYXNsU","E",231,"2021/1/7 17:33","2021/1/7 17:42",529,2,87.6,87.6,32,2,NA,8,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,12,1,1,3,2,2,2,1,1,2,1,2,2,2,1,2,1,2,2,2,4,3,"",2,2,3,2,2,1,"中国","山东省","临沂市","B.女",34,"D.大学本科",58,58
"869","o34xe053-XH6f9Yr9v1ZFUl5t9Gg","E",240,"2021/1/7 17:30","2021/1/7 17:44",811,2,20,45,300,2,NA,3,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,18,3,1,3,2,2,2,2,1,1,2,2,3,2,2,3,2,2,2,2,3,5,"",2,3,2,2,2,2,"中国","上海市","上海市","A.男",31,"D.大学本科",58,62
"870","o34xe0549bY0NIoq2JVfbiDy6WfA","C",378,"2021/1/7 19:12","2021/1/7 19:15",207,2,900,1000,100,2,NA,8,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,10,1,2,2,1,1,2,1,1,1,2,1,2,2,2,4,1,1,2,3,3,1,"",1,1,1,1,2,1,"中国","浙江省","","A.男",22,"D.大学本科",30,14
"872","o34xe0558XQMMozowREwZWRcwLp8","C",432,"2021/1/7 22:43","2021/1/7 22:54",624,2,87.6,87.6,0,2,NA,8,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,20,1,3,1,3,4,4,2,4,2,1,1,4,1,1,4,1,1,1,3,4,1,"",2,3,2,2,2,2,"中国","新疆维吾尔自治区","乌鲁木齐市","B.女",40,"D.大学本科",34,34
"874","o34xe055ZHVWsGituDfhMHDn9Ox8","E",13,"2021/1/7 17:18","2021/1/7 17:20",93,2,5,5,5,2,NA,4,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,10,3,1,1,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1,"",2,2,2,2,2,2,"中国","广东省","","A.男",23,"D.大学本科",62,62
"875","o34xe056fA0OOnPpj8zmdxQZ9DY0","M",194,"2021/1/7 17:28","2021/1/7 17:37",522,2,87.6,155,580,2,NA,2,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,15,1,1,2,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,6,1,"",2,3,1,1,2,1,"中国","江苏省","常州市","B.女",31,"D.大学本科",58,58
"876","o34xe057ajwlxfJ0UFlyu5BEdPaM","E",453,"2021/1/8 10:03","2021/1/8 10:07",246,1,10,15,50,2,NA,3,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,5,2,1,2,1,2,2,2,2,1,1,2,2,2,2,3,1,1,1,3,5,1,"",2,3,2,3,3,2,"中国","云南省","昆明市","A.男",21,"D.大学本科",2,2
